Definition
No marks or tags
Elastomer
Fin clip
Pigment / dye
Coded wire tag (CWT)
Freeze brand (bar)
Freeze brand (dot)
PIT tag
Acoustic telemetry tag
Radio telemetry tag
Floy tag
Photonic Dye
Other
Not recorded
Not applicable (n/a)
Unknown
See Comments
Not yet assigned
