Definition,Description 
no fish caught,No fish caught in the RST live box durring sampling event
processed fish,Fish caught in the live box and processed durring the sampling event
"no catch data, fish left in live box",Fish caught but left in the live box - no data collected
"no catch data, fish released",Fish caught but released before processing - no data collected
not recorded,No data recorded
