Definition
none
elastomer
fin clip
pigment/dye
coded wire tag (cwt)
freeze brand (bar)
freeze brand (dot)
pit tag
acoustic telemetry tag
radio telemetry tag
floy tag
photonic dye
bismark brown
juvenile salmon acoustic telemetry (JSAT)
not recorded
