Definition,Description
spring,Spring Run Chinook Salmon
fall,Fall Run Chinook Salmon
winter,Winter Run Chinook Salmon
late fall,Late Fall Run Chinook Salmon
hybrid,Hybrid Chinook Salmon
not recorded,No data recorded
